orden,ID_Casa,ID_Encuesta,DIR
332,670,2508,Sta Fe 1146
330,671,2511,Sta Fe
293,676,2710,J. R. Aldao 305
285,677,2711,J. R. Aldao 677
339,682,2553,Simon de Iriondo 688
349,692,2666,lehmann 1180
359,693,2668,Lehmann 1156
352,694,2669,lehmann 1190
302,696,2656,Calle Presbistero Martinez 1163
307,702,,Simon de Iriondo 516
313,703,,Simon de Iriondo 594
309,705,2579,Mateo Booz 1165
303,706,2583,Mateo Booz 1115
308,707,2585,Mateo Booz 1191
286,708,2609,J. R. Aldao 543
283,717,2741,J. R. Aldao 567
284,720,2730,Calle Presbistero Martinez 1166
288,724,,Simon de Iriondo 566
252,726,2307,J. R. Aldao 516
65,727,1170,
395,729,1197,Pje.  San Jose 1462
396,730,1200,Pje.  San Jose 1422
397,731,1199,Pje.  San Jose 1480
289,738,2616,J. R. Aldao 570
291,739,2253,J. R. Aldao 594
290,740,2254,J. R. Aldao 582
274,742,150,
277,743,230,Calle Presbistero Martinez 1258
296,746,2280,Mateo Booz 1395
298,748,1542,Calle Presbistero Martinez 1390
315,752,1515,Mateo Booz 1365
311,753,1528,Mateo Booz 1345
300,757,2334,Belgrano 
218,762,2324,Cafferatta 
333,763,2319,Calle Presbistero Martinez 
326,764,2320,Calle Presbistero Martinez 596
294,770,2352,Martin Guemes 535
287,776,,Calle Presbistero Martinez 1476
295,778,1552,Belgrano 544
306,779,1561,Mateo Booz 1485
319,781,1557,Mateo Booz 1487
314,783,,Mateo Booz 1437
356,784,1600,Calle Presbistero Martinez 1526
351,786,1589,Mateo Booz 1585
405,787,1609,Calle Presbistero Martinez 1548
361,793,2294,Mateo Booz 1585
338,796,1641,Estanislao Lopez 607
336,799,1665,Calle Presbistero Martinez 1575
323,802,1663,Martin Guemes 638
318,803,1661,lehmann 1556
321,804,1662,Martin Guemes 678
322,805,2404,Martin Guemes 650
317,812,1664,lehmann 1576
244,814,1685,
248,817,1717,
240,821,1711,Sta Fe 1560
241,822,1689,Lehmann 1545
249,823,1705,
250,824,1707,
246,827,1682,
245,828,691,
247,831,,Martin Guemes 702
348,835,1725,Sta Fe 1537
346,838,1732,Martin Guemes 820
342,841,1748,Mitre 1548
345,842,1747,Mitre 1506
341,843,2651,Mitre 1576
162,844,1626,J. D. y Clucellas 1156
161,845,1244,J. D. y Clucellas 1178
269,847,1271,Martin Guemes 942
264,848,,Mitre 1517
262,849,1273,Mitre 1585
232,850,1268,Estanislao Lopez 955
230,851,1270,Estanislao Lopez 975
231,852,1269,Estanislao Lopez 985
225,853,1639,Estanislao Lopez 925
228,854,1260,Estanislao Lopez 965
227,855,1261,Estanislao Lopez 955
343,861,2481,Martin Guemes 900
335,868,,Alfonsina Storni 1560
340,869,2451,Alfonsina Storni 1552
334,872,2442,Alfonsina Storni 1555
224,874,1302,Mitre 1473
220,875,1305,Pje. 4 de Diciembre 1492
219,876,1303,Martin Guemes 909
79,877,1307,Simon de Iriondo 711
80,878,1308,Simon de Iriondo 763
223,880,2190,Mitre 1413
222,882,1304,Mitre 1423
237,883,1296,Pje. 4 de Diciembre 1432
239,884,1295,Pje. 4 de Diciembre 1412
238,885,1297,Pje. 4 de Diciembre 1422
234,886,2163,Pje. 4 de Diciembre 1452
236,887,2165,Pje. 4 de Diciembre 1472
20,889,2223,Alfonsina Storni 1412
21,890,1363,Alfonsina Storni 1456
71,892,2234,Pje. 4 de Diciembre 1493
18,895,2229,Alfonsina Storni 1466
23,896,1364,Alfonsina Storni 1511
72,898,2233,Pje. 4 de Diciembre 1433
25,903,1345,Alfonsina Storni 1480
24,904,1344,Pje. 4 de Diciembre 1413
27,905,1343,Pje. 4 de Diciembre 1483
47,910,1294,Simon de Iriondo 920
70,914,2200,Mitre 1101
69,915,1293,Simon de Iriondo 996
46,916,2198,Simon de Iriondo 944
45,918,1315,Simon de Iriondo 968
41,925,1284,Mitre 1162
31,928,1394,Alfonsina Storni 1058
39,931,1400,Simon de Iriondo 967
33,934,1499,Alfonsina Storni 1038
28,936,1411,Alfonsina Storni 1066
104,937,1430,Mitre 1063
38,940,1462,Simon de Iriondo 955
103,943,1434,Mitre 1081
42,944,1436,Mitre 1075
54,949,1454,Av. Ignacio Crespo 982
82,955,2148,Av. Ignacio Crespo 870
81,958,2138,Av. Ignacio Crespo 832
84,964,2118,Mitre 1044
83,965,2127,Mitre 1062
35,967,1479,Simon de Iriondo 855
36,969,1475,Av. Ignacio Crespo 870
30,970,1470,Sta Fe 1055
37,971,1476,Av. Ignacio Crespo 870
86,997,2067,Av. Ignacio Crespo 724
88,1000,2054,Sta Fe 1092
56,1008,2097,Mateo Booz 1008
195,1048,,J. D. y Clucellas 1048
110,1085,746,Estanislao Lopez 1055
57,1116,481,
182,2923,562,Lehmann 1366
178,2977,56,Lehmann 1356
179,2980,299,Lehmann 
180,2982,556,Lehmann 1388
181,2983,555,Lehmann 1366
292,,1565,J. R. Aldao 538
